Year,Crime Type,Crime Head,Total # FIR,Total # Final Report,FR Non-Cognizable,FR False,Mistake of Fact / Law / Civil Dispute,True but insufficient evidence,Cases Abated,Total # Charge Sheeted,Total # Cases Disposed Off by Police
2021,SLL,Prohibition Act,678998,5644,6,80,145,5088,325,647233,653306
2021,IPC,Theft,586649,409819,950,6248,48011,353994,616,159446,570191
2021,IPC,Hurt,585774,69671,3554,15667,25129,24634,687,526994,596792
2021,IPC,Rash Driving on Public Way,347953,31157,32,2533,5337,22867,388,315273,346506
2021,SLL,Excise Act,335699,2245,2,337,241,1623,42,341961,345912
2021,SLL,Electricity Act,138513,17625,679,224,2649,11661,2412,83653,101287
2021,IPC,"Forgery, Cheating and Fraud",152073,69045,450,14193,19264,34571,567,73932,147015
2021,SLL,Gambling Act,164324,274,0,10,36,188,40,163051,163326
2021,IPC,Causing Death by Negligence,146195,35725,234,1507,3532,23661,6791,111476,147263
2021,IPC,Criminal Intimidation,123442,11357,114,2100,2594,6508,41,112655,124038
2021,IPC,Cruelty by husband or his relatives,136234,21010,44,6938,7037,6860,131,114304,135427
2021,SLL,Narcotic Drugs and Psychotropic Substances Act,78331,1196,1,112,118,939,26,71490,72719
2021,IPC,Kidnapping and Abduction,101707,65443,331,17050,26694,20963,405,38141,103657
2021,IPC,Burglary,97792,56918,231,1384,4353,50696,254,39788,96720
2021,SLL,Motor Vehicles Act,35089,53,1,3,5,43,1,34772,34825
2021,IPC,Obstruction on Public Way,58562,95,0,28,12,52,3,58187,58282
2021,IPC,Assault on Women with intent to outrage her modesty,89200,14841,221,6764,3625,4121,110,77168,92069
2021,SLL,Arms Act,74482,1240,4,49,142,1029,16,73511,74756
2021,IPC,Disobedience to order duly promulgated by Public Servant,322115,23943,3213,949,17331,2398,52,354645,378588
2021,SLL,Protection of Children from Sexual Offences Act,53874,2647,36,956,563,1021,71,51129,53907
2022,SLL,Prohibition Act,704281,8490,0,11,1100,7107,272,691648,700587
2022,IPC,Theft,652731,447984,414,7120,37038,403284,128,191540,640443
2022,IPC,Hurt,627676,64041,2850,20570,15763,24114,744,570027,634147
2022,IPC,Rash Driving on Public Way,489722,36481,50,2758,5089,28026,378,446074,482586
2022,SLL,Excise Act,357833,1727,90,93,241,2154,49,365264,368393
2022,SLL,Electricity Act,282705,40026,198,671,5196,22870,11091,136244,176277
2022,IPC,"Forgery, Cheating and Fraud",170901,78173,322,15215,21173,41077,386,87928,167328
2022,SLL,Gambling Act,169254,351,1,8,27,306,9,170604,170955
2022,IPC,Causing Death by Negligence,159096,39661,374,1431,3976,26333,7547,118663,158363
2022,IPC,Criminal Intimidation,150932,12840,24,2563,3494,6740,19,132186,145040
2022,IPC,Cruelty by husband or his relatives,140019,22453,56,7076,8093,7198,30,123297,145840
2022,SLL,Narcotic Drugs and Psychotropic Substances Act,115236,1844,0,155,153,1516,20,105547,107412
2022,IPC,Kidnapping and Abduction,107588,72772,150,19942,33870,18503,307,41656,114478
2022,IPC,Burglary,107222,61065,101,1462,2844,56608,50,45596,106681
2022,SLL,Motor Vehicles Act,94450,184,0,3,5,176,0,94083,94267
2022,IPC,Obstruction on Public Way,93548,154,0,27,28,92,7,92044,92200
2022,IPC,Assault on Women with intent to outrage her modesty,83344,13874,157,6821,2674,4174,48,71630,85538
2022,SLL,Arms Act,80118,1221,8,41,149,971,14,79743,80996
2022,IPC,Disobedience to order duly promulgated by Public Servant,67350,4667,5,748,1343,22522,49,97584,102254
2022,SLL,Protection of Children from Sexual Offences Act,63414,3804,13,1710,616,1422,43,59766,63759
2019,SLL,Prohibition Act,558620,4552,137,35,980,3196,204,553742,558708
2019,IPC,Theft,675916,528674,423,7686,42281,473993,4291,150395,681040
2019,IPC,Hurt,545061,64527,8517,16528,17582,21462,438,462691,527300
2019,IPC,Rash Driving on Public way,417024,35453,96,2510,4596,27878,373,374859,410357
2019,SLL,The Excise Act,288156,2676,1,753,612,1301,9,278886,287860
2019,SLL,The Electricity Act,132722,197,173,490,5810,145,25,158001,158203
2019,IPC,"Forgery, Cheating & Fraud",143909,58991,224,14269,15494,28629,375,69029,128633
2019,SLL,The Gambling Act,156442,0,0,5,22,0,0,44,44
2019,IPC,Causing Death by Negligence,144842,32487,93,1439,2849,22790,5316,107734,140278
2019,IPC,Criminal Intimidation,101422,9082,39,1828,1882,5322,11,89518,98619
2019,IPC,Cruelty by Husband or his Relatives,125298,21788,63,7606,6939,6926,254,96512,118487
2019,SLL,The Narcotic Drugs & Psychotropic Substances Act,72779,1022,16,120,293,579,14,68572,69603
2019,IPC,Kidnapping and Abduction,105037,63849,215,17602,26523,18616,893,37974,101912
2019,IPC,Burglary,100897,60358,130,1719,2974,55123,412,38281,98655
2019,SLL,Motor Vehicle Act,203540,483,1,0,2,213,44,9,492
2019,IPC,Obstruction on Public way,93343,189,0,19,29,138,3,93630,93819
2019,IPC,Assault on Women with Intent to Outrage her Modesty,88367,13629,173,6288,2378,4615,175,73334,87013
2019,SLL,The Arms Act,73122,785,2,40,168,549,26,71533,72327
2019,IPC,Disobedience to order duly promulgated by Public Servant,29496,1203,4,134,133,904,28,25835,27039
2019,SLL,The Protection of Children from Sexual Offences Act,47335,2984,19,985,635,1296,49,42681,45760
2020,SLL,Prohibition Act,562215,4415,0,38,1052,3149,176,522849,527889
2020,IPC,Theft,493172,383194,572,4931,44422,332763,506,123738,507571
2020,IPC,Hurt,578641,60598,3795,14551,18680,22606,966,473822,534472
2020,IPC,Rash Driving on Public way,312777,29334,295,2161,3816,22616,446,280649,310012
2020,SLL,The Excise Act,309247,2365,0,38,1052,1494,396,279768,286581
2020,SLL,The Electricity Act,111801,71862,42,136,6075,62300,3309,22253,94509
2020,IPC,"Forgery, Cheating & Fraud",127724,53324,221,10424,12953,29477,249,56982,110632
2020,SLL,The Gambling Act,155367,280,0,17,24,138,101,150661,150941
2020,IPC,Causing Death by Negligence,126779,29218,177,1129,2187,20993,4732,91915,121179
2020,IPC,Criminal Intimidation,115297,12079,30,2148,1905,7475,521,98943,111035
2020,IPC,Cruelty by Husband or his Relatives,111549,16151,122,5520,4832,5489,188,96153,112448
2020,SLL,The Narcotic Drugs & Psychotropic Substances Act,59806,937,2,158,117,640,20,54024,54977
2020,IPC,Kidnapping and Abduction,84805,53829,348,12790,26323,14001,367,32081,85960
2020,IPC,Burglary,86223,53333,92,1505,2294,49106,336,34792,88137
2020,SLL,Motor Vehicle Act,55707,428,0,11,11,404,2,48850,49278
2020,IPC,Obstruction on Public way,54952,283,3,21,77,171,11,55519,55803
2020,IPC,Assault on Women with Intent to Outrage her Modesty,85392,12426,253,5821,2317,3848,187,73610,86074
2020,SLL,The Arms Act,68463,871,10,38,114,656,53,66000,66877
2020,IPC,Disobedience to order duly promulgated by Public Servant,612179,2954,9,456,589,1829,71,482297,485256
2020,SLL,The Protection of Children from Sexual Offences Act,47221,2430,35,787,454,1100,54,44709,47228
2018,SLL,Prohibition Act,532569,6993,106,78,3041,3590,178,518397,525762
2018,IPC,Theft,625441,505096,3078,8015,28652,463576,1775,148917,656015
2018,IPC,Hurt,530076,55283,6410,11891,13048,23191,743,465959,521319
2018,IPC,Rash Driving on Public Way,443805,38002,155,2681,4569,30255,342,403698,441767
2018,SLL,Excise Act,267990,2485,2,949,81,1380,73,271475,279858
2018,SLL,Electricity Act,183873,104945,1798,1163,5262,96668,54,89650,194601
2018,IPC,"Forgery, Cheating and Fraud",134546,56676,420,11572,16165,28098,421,68920,126011
2018,SLL,Gambling Act,156110,202,0,10,15,162,15,154403,154610
2018,IPC,Causing Death by Negligence,144031,33755,172,1203,2854,24202,5324,109951,143769
2018,IPC,Criminal Intimidation,94507,10230,96,2047,1691,6376,20,82998,93260
2018,IPC,Cruelty by husband or his relatives,103272,17848,170,4950,5743,6476,509,82837,100841
2018,SLL,Narcotic Drugs and Psychotropic Substances Act,63137,1509,7,214,351,914,23,60120,61642
2018,IPC,Kidnapping and Abduction,105734,63177,267,14506,27522,20184,698,38908,102175
2018,IPC,Burglary,99940,65465,60,2215,2856,59938,396,39178,104672
2018,SLL,Motor Vehicles Act,232949,47,0,0,1,43,3,234735,234782
2018,IPC,Obstruction on Public Way,99390,189,0,64,26,97,2,97476,97665
2018,IPC,Assault on Women with intent to outrage her modesty,89097,12670,143,5257,2450,4721,99,75101,87809
2018,SLL,Arms Act,66305,811,11,111,171,502,16,64313,65130
2018,IPC,Disobedience to order duly promulgated by Public Servant,22907,1421,1,104,373,902,41,19358,20779
2018,SLL,Protection of Children from Sexual Offences Act,39827,2080,18,593,611,808,50,35568,37718
